2022-02-09 05:09:51.343 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 0, tbs_ : 7, time: 40764052, acked_bytes: 481
2022-02-09 05:09:51.372 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 48, tbs_ : 191, time: 40764055, acked_bytes: 482
2022-02-09 05:09:51.433 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 48, tbs_ : 203, time: 40764061, acked_bytes: 293
2022-02-09 05:09:51.438 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 568, tbs_ : 203, time: 40764062, acked_bytes: 1350
2022-02-09 05:09:51.445 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 203, time: 40764063, acked_bytes: 1350
2022-02-09 05:09:51.456 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 203, time: 40764064, acked_bytes: 1350
2022-02-09 05:09:51.469 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1086, time: 40764065, acked_bytes: 1350
2022-02-09 05:09:51.475 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1242, time: 40764066, acked_bytes: 1350
2022-02-09 05:09:51.486 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1242, time: 40764067, acked_bytes: 1350
2022-02-09 05:09:51.498 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 1242, time: 40764068, acked_bytes: 1350
2022-02-09 05:09:51.510 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1242, time: 40764069, acked_bytes: 1350
2022-02-09 05:09:51.516 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1242, time: 40764070, acked_bytes: 1350
2022-02-09 05:09:51.528 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 1242, time: 40764071, acked_bytes: 1350
2022-02-09 05:09:51.705 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 251, tbs_ : 228, time: 40764089, acked_bytes: 1400
2022-02-09 05:09:51.717 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 815, tbs_ : 4, time: 40764090, acked_bytes: 2700
2022-02-09 05:09:51.729 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1301, time: 40764091, acked_bytes: 1350
2022-02-09 05:09:51.735 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1301, time: 40764092, acked_bytes: 1350
2022-02-09 05:09:51.746 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1244, time: 40764093, acked_bytes: 1350
2022-02-09 05:09:51.759 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1402, time: 40764094, acked_bytes: 1350
2022-02-09 05:09:51.765 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1202, time: 40764095, acked_bytes: 1350
2022-02-09 05:09:51.777 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1202, time: 40764096, acked_bytes: 1350
2022-02-09 05:09:51.788 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1202, time: 40764097, acked_bytes: 1350
2022-02-09 05:09:51.802 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1202, time: 40764098, acked_bytes: 1350
2022-02-09 05:09:51.808 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1202, time: 40764099, acked_bytes: 1169
2022-02-09 05:09:51.849 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 116, tbs_ : 4, time: 40764103, acked_bytes: 37
2022-02-09 05:09:51.956 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 3, tbs_ : 6, time: 40764114, acked_bytes: 54
2022-02-09 05:09:51.968 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 5, tbs_ : 1416, time: 40764115, acked_bytes: 2696
2022-02-09 05:09:51.980 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 944, tbs_ : 1416, time: 40764116, acked_bytes: 1350
2022-02-09 05:09:51.986 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1416, time: 40764117, acked_bytes: 1350
