time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002915636,40,295,-255,0.2648305084745763,10270
1640002915638,54,308,-254,0.2536525974025974,9124
1640002915639,59,313,-254,0.2496006389776358,9708
1640002915640,61,318,-257,0.2456761006289308,5700
1640002915641,51,305,-254,0.25614754098360654,10270
1640002915642,44,298,-254,0.26216442953020136,9792
1640002915643,47,304,-257,0.2569901315789474,9606
1640002915644,48,302,-254,0.2586920529801325,7904
1640002915644,54,307,-253,0.2544788273615635,8527
1640002915645,47,300,-253,0.2604166666666667,10270
1640002915646,42,300,-258,0.2604166666666667,10270
1640002915647,42,298,-256,0.26216442953020136,10270
1640002915648,45,298,-253,0.26216442953020136,10270
1640002915649,66,318,-252,0.2456761006289308,468
1640002915649,39,296,-257,0.2639358108108108,10270
1640002915650,38,296,-258,0.2639358108108108,10018
1640002915651,42,295,-253,0.2648305084745763,10270
1640002915652,39,296,-257,0.2639358108108108,10270
1640002915653,59,313,-254,0.2496006389776358,477
1640002915653,82,326,-244,0.23964723926380369,530
1640002915654,39,294,-255,0.26573129251700683,10270
1640002915655,42,296,-254,0.2639358108108108,10270
1640002915656,42,298,-256,0.26216442953020136,10270
1640002915656,40,295,-255,0.2648305084745763,10094
1640002915657,41,295,-254,0.2648305084745763,10270
1640002915658,68,321,-253,0.24338006230529594,450
1640002915659,72,323,-251,0.24187306501547987,477
1640002915659,50,299,-249,0.2612876254180602,9471
1640002915660,43,297,-254,0.2630471380471381,10105
1640002915661,40,298,-258,0.26216442953020136,10270
1640002915661,50,303,-253,0.25783828382838286,10270
1640002915662,52,307,-255,0.2544788273615635,464
1640002915663,47,299,-252,0.2612876254180602,10270
1640002915664,51,298,-247,0.26216442953020136,10270
1640002915665,46,301,-255,0.2595514950166113,9394
1640002915665,67,318,-251,0.2456761006289308,374
1640002915666,46,298,-252,0.26216442953020136,10120
1640002915667,44,297,-253,0.2630471380471381,10270
1640002915668,38,295,-257,0.2648305084745763,10270
1640002915668,43,293,-250,0.2666382252559727,9942
1640002915669,55,306,-251,0.25531045751633985,10270
1640002915670,44,297,-253,0.2630471380471381,10270
1640002915671,43,296,-253,0.2639358108108108,10270
1640002915671,41,294,-253,0.26573129251700683,10270
1640002915672,39,294,-255,0.26573129251700683,10270
1640002915673,47,299,-252,0.2612876254180602,10270
1640002915674,40,293,-253,0.2666382252559727,10270
1640002915675,57,305,-248,0.25614754098360654,10270
1640002915675,42,296,-254,0.2639358108108108,10270
1640002915676,42,296,-254,0.2639358108108108,10108
1640002915677,69,317,-248,0.24645110410094637,10131
1640002915678,45,303,-258,0.25783828382838286,10270
1640002915678,74,323,-249,0.24187306501547987,483
1640002915679,48,299,-251,0.2612876254180602,10270
1640002915680,38,296,-258,0.2639358108108108,9984
1640002915681,40,294,-254,0.26573129251700683,10270
1640002915682,48,300,-252,0.2604166666666667,10270
1640002915682,46,297,-251,0.2630471380471381,9165
1640002915683,52,307,-255,0.2544788273615635,8155
1640002915684,44,296,-252,0.2639358108108108,9300
1640002915685,53,305,-252,0.25614754098360654,9365
1640002915685,45,295,-250,0.2648305084745763,10059
1640002915686,46,297,-251,0.2630471380471381,10270
1640002915687,46,299,-253,0.2612876254180602,8540
1640002915688,40,291,-251,0.26847079037800686,10270
1640002915688,47,298,-251,0.26216442953020136,10270
1640002915689,45,297,-252,0.2630471380471381,9781
1640002915690,68,319,-251,0.24490595611285265,450
1640002915691,46,298,-252,0.26216442953020136,10270
1640002915691,37,290,-253,0.26939655172413796,10270
1640002915692,60,314,-254,0.24880573248407642,10270
1640002915693,45,294,-249,0.26573129251700683,10270
1640002915694,48,297,-249,0.2630471380471381,10270
1640002915694,47,302,-255,0.2586920529801325,10270
1640002915695,46,295,-249,0.2648305084745763,7932
1640002915696,48,298,-250,0.26216442953020136,10270
1640002915697,58,309,-251,0.25283171521035597,369
1640002915698,50,298,-248,0.26216442953020136,10270
1640002915698,44,301,-257,0.2595514950166113,9874
1640002915699,51,305,-254,0.25614754098360654,5905
1640002915700,69,326,-257,0.23964723926380369,495
1640002915701,53,306,-253,0.25531045751633985,10270
1640002915702,53,300,-247,0.2604166666666667,7559
1640002915702,44,300,-256,0.2604166666666667,9238
1640002915703,65,318,-253,0.2456761006289308,8341
1640002915704,55,312,-257,0.250400641025641,447
1640002915705,67,323,-256,0.24187306501547987,450
1640002915705,47,301,-254,0.2595514950166113,7641
1640002915706,49,304,-255,0.2569901315789474,5866
1640002915707,46,296,-250,0.2639358108108108,8396
1640002915708,46,301,-255,0.2595514950166113,10110
1640002915709,52,306,-254,0.25531045751633985,8807
1640002915709,42,295,-253,0.2648305084745763,10270
1640002915710,49,302,-253,0.2586920529801325,9904
1640002915711,44,300,-256,0.2604166666666667,8595
1640002915712,46,298,-252,0.26216442953020136,9098
1640002915712,43,299,-256,0.2612876254180602,9758
1640002915713,52,307,-255,0.2544788273615635,7433
1640002915714,37,294,-257,0.26573129251700683,10270
