time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006155855,119,69,50,1.132246376811594,10270
1640006155858,116,70,46,1.1160714285714284,10270
1640006155859,125,77,48,1.0146103896103895,10270
1640006155860,288,234,54,0.33386752136752135,8011
1640006155860,146,96,50,0.8138020833333334,3588
1640006155861,139,90,49,0.8680555555555556,6868
1640006155862,126,77,49,1.0146103896103895,7557
1640006155862,136,85,51,0.9191176470588235,8436
1640006155863,123,73,50,1.0702054794520548,7321
1640006155864,137,82,55,0.9527439024390244,8380
1640006155864,130,81,49,0.9645061728395061,7767
1640006155865,146,97,49,0.8054123711340206,7458
1640006155866,200,149,51,0.5243288590604027,2880
1640006155866,162,113,49,0.6913716814159292,2577
1640006155867,147,94,53,0.8311170212765957,3301
1640006155867,131,78,53,1.001602564102564,3901
1640006155868,132,83,49,0.9412650602409638,5401
1640006155868,136,82,54,0.9527439024390244,6607
1640006155869,149,98,51,0.7971938775510203,6347
1640006155870,137,86,51,0.9084302325581396,3293
1640006155870,148,98,50,0.7971938775510203,3940
1640006155871,136,88,48,0.8877840909090909,6266
1640006155871,162,113,49,0.6913716814159292,4916
1640006155872,139,90,49,0.8680555555555556,2802
1640006155872,135,83,52,0.9412650602409638,3450
1640006155873,154,99,55,0.7891414141414141,6187
1640006155873,152,102,50,0.7659313725490197,3491
1640006155874,138,87,51,0.8979885057471265,2962
1640006155874,135,88,47,0.8877840909090909,3931
1640006155875,153,104,49,0.7512019230769231,3931
1640006155875,142,94,48,0.8311170212765957,2621
1640006155876,133,82,51,0.9527439024390244,3898
1640006155876,144,94,50,0.8311170212765957,3898
1640006155877,132,79,53,0.9889240506329113,4794
1640006155878,130,80,50,0.9765625,6077
1640006155878,127,79,48,0.9889240506329113,6671
1640006155879,141,92,49,0.8491847826086957,5420
1640006155879,224,170,54,0.45955882352941174,4927
1640006155880,161,109,52,0.716743119266055,2094
1640006155880,155,103,52,0.758495145631068,4805
1640006155881,135,87,48,0.8979885057471265,4058
1640006155881,142,94,48,0.8311170212765957,6024
1640006155882,163,116,47,0.6734913793103448,4285
1640006155882,196,138,58,0.566123188405797,4285
1640006155883,163,114,49,0.6853070175438596,2199
1640006155883,154,106,48,0.7370283018867925,349
1640006155884,138,85,53,0.9191176470588235,4115
1640006155884,131,79,52,0.9889240506329113,4115
1640006155885,134,85,49,0.9191176470588235,5721
1640006155885,145,92,53,0.8491847826086957,4604
1640006155886,131,79,52,0.9889240506329113,5604
1640006155886,129,77,52,1.0146103896103895,6485
1640006155887,276,224,52,0.3487723214285714,5885
1640006155887,139,86,53,0.9084302325581396,2159
1640006155888,146,96,50,0.8138020833333334,3025
1640006155888,129,82,47,0.9527439024390244,5137
1640006155889,154,104,50,0.7512019230769231,7233
1640006155889,136,81,55,0.9645061728395061,9036
1640006155890,123,70,53,1.1160714285714284,7461
1640006155890,126,74,52,1.0557432432432432,7632
1640006155891,127,78,49,1.001602564102564,8739
1640006155891,126,76,50,1.0279605263157896,8890
1640006155892,134,84,50,0.9300595238095237,8174
1640006155892,122,73,49,1.0702054794520548,7511
1640006155893,125,72,53,1.0850694444444444,7799
1640006155894,125,76,49,1.0279605263157896,9464
1640006155894,128,78,50,1.001602564102564,7861
1640006155895,129,79,50,0.9889240506329113,8029
1640006155895,134,83,51,0.9412650602409638,6467
1640006155895,132,81,51,0.9645061728395061,5945
1640006155896,142,92,50,0.8491847826086957,7199
1640006155897,122,70,52,1.1160714285714284,8364
1640006155897,128,77,51,1.0146103896103895,8711
1640006155898,127,77,50,1.0146103896103895,10270
1640006155898,113,66,47,1.183712121212121,10270
1640006155899,132,81,51,0.9645061728395061,10270
1640006155899,133,87,46,0.8979885057471265,6877
1640006155900,125,72,53,1.0850694444444444,6877
1640006155900,127,76,51,1.0279605263157896,7598
1640006155901,128,77,51,1.0146103896103895,9102
1640006155901,127,75,52,1.0416666666666667,6897
1640006155902,135,81,54,0.9645061728395061,7984
1640006155902,126,71,55,1.1003521126760565,6947
1640006155903,125,78,47,1.001602564102564,6947
1640006155903,116,67,49,1.1660447761194028,10270
1640006155904,141,92,49,0.8491847826086957,8529
1640006155905,138,91,47,0.8585164835164836,6173
1640006155905,137,86,51,0.9084302325581396,10270
1640006155906,128,77,51,1.0146103896103895,7906
1640006155906,128,77,51,1.0146103896103895,4778
1640006155907,131,80,51,0.9765625,10135
1640006155907,122,69,53,1.132246376811594,9776
1640006155908,139,88,51,0.8877840909090909,10270
1640006155908,132,82,50,0.9527439024390244,7448
1640006155909,133,81,52,0.9645061728395061,5982
1640006155909,127,77,50,1.0146103896103895,8056
1640006155910,118,70,48,1.1160714285714284,7737
1640006155910,119,71,48,1.1003521126760565,9847
1640006155911,137,86,51,0.9084302325581396,9917
