No.,Time,Source,Destination,Protocol,Length,Info,cumsum,Bytes in flight,good_time
17011,13.670255,10.234.187.248,147.46.244.85,TCP,92,"47510  >  8888 [PSH, ACK] Seq=13339339 Ack=157 Win=87808 Len=20 TSval=29486885 TSecr=2885411088",92,20,
17013,13.670444,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13339359 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,1552,1408,
17014,13.670499,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13340747 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,3012,2796,
17015,13.670539,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13342135 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,4472,4184,
17016,13.67061,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13343523 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,5932,5572,
17017,13.670639,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13344911 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,7392,6960,
17018,13.670685,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13346299 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,8852,8348,
17020,13.670744,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13347687 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,10312,9736,
17021,13.670773,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13349075 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,11772,11124,
17022,13.670811,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13350463 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,13232,12512,
17023,13.670837,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13351851 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,14692,13900,
17024,13.670859,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13353239 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,16152,15288,
17026,13.67096,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13354627 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,17612,16676,
17027,13.670991,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13356015 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,19072,18064,
17028,13.671016,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13357403 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,20532,19452,
17029,13.671053,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13358791 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,21992,20840,
17030,13.671077,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13360179 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,23452,22228,
17032,13.671132,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13361567 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,24912,23616,
17033,13.671169,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13362955 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,26372,25004,
17034,13.671195,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13364343 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,27832,26392,
17035,13.671225,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13365731 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,29292,27780,
17036,13.671254,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13367119 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,30752,29168,
17038,13.671458,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13368507 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,32212,30556,
17039,13.671731,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13369895 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,33672,31944,
17040,13.672021,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13371283 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,35132,33332,
17041,13.672028,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13372671 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,36592,34720,
17042,13.67256,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13374059 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,38052,36108,
17044,13.672841,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13375447 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,39512,37496,
17045,13.672846,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13376835 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,40972,38884,
17046,13.673391,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13378223 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,42432,40272,
17047,13.673399,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13379611 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,43892,41660,
17048,13.673943,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13380999 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,45352,43048,
17050,13.673966,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13382387 Ack=157 Win=87808 Len=1388 TSval=29486885 TSecr=2885411088,46812,44436,
17051,13.674495,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13383775 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,48272,45824,
17052,13.674501,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13385163 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,49732,47212,
17053,13.675053,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13386551 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,51192,48600,
17055,13.675077,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13387939 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,52652,49988,
17056,13.675602,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13389327 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,54112,51376,
17057,13.675608,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13390715 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,55572,52764,
17058,13.676153,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13392103 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,57032,54152,
17060,13.676171,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13393491 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,58492,55540,
17061,13.676709,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13394879 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,59952,56928,
17062,13.676713,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13396267 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,61412,58316,
17063,13.677258,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13397655 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,62872,59704,
17065,13.677278,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13399043 Ack=157 Win=87808 Len=1388 TSval=29486886 TSecr=2885411088,64332,61092,
17066,13.677812,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13400431 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,65792,62480,
17067,13.677815,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13401819 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,67252,63868,
17068,13.678364,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13403207 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,68712,65256,
17070,13.678379,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13404595 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,70172,66644,
17071,13.678917,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13405983 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,71632,68032,
17072,13.67892,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13407371 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,73092,69420,
17073,13.679469,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13408759 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,74552,70808,
17075,13.679485,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13410147 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,76012,72196,
17076,13.680025,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13411535 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,77472,73584,
17077,13.680029,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13412923 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,78932,74972,
17078,13.680582,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13414311 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,80392,76360,
17080,13.68061,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13415699 Ack=157 Win=87808 Len=1388 TSval=29486887 TSecr=2885411088,81852,77748,
17081,13.681125,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13417087 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,83312,79136,
17082,13.681129,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13418475 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,84772,80524,
17083,13.681681,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13419863 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,86232,81912,
17085,13.681724,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13421251 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,87692,83300,
